OrthoRecord,Token,Normalized,Status,Comments
urn:cite:hmt:normalized.886,ἂ,ἃ,rejected,
urn:cite:hmt:normalized.186,αί,αἵ,rejected,
urn:cite:hmt:normalized.1132,αλὶ,ἁλὶ,rejected,
urn:cite:hmt:normalized.1435,αλὶ,ἁλὶ,rejected,
urn:cite:hmt:normalized.374,ἁλλα,ἀλλὰ,rejected,
urn:cite:hmt:normalized.351,ἁμβροσιά,ἀμβρόσια,rejected,
urn:cite:hmt:normalized.216,άν,ἄν,rejected,
urn:cite:hmt:normalized.692,ἀνα,ἀνὰ,rejected,
urn:cite:hmt:normalized.756,ἀνα,ἀνά,rejected,
urn:cite:hmt:normalized.764,ἀνα,ἀνὰ,rejected,
urn:cite:hmt:normalized.948,ἀνα,ἄνα,rejected,
urn:cite:hmt:normalized.980,ἀνα,ἀνὰ,rejected,
urn:cite:hmt:normalized.329,ἁναγνωστεον,ἀναγνωστέον,rejected,
urn:cite:hmt:normalized.411,ἀντι,ἀντὶ,rejected,
urn:cite:hmt:normalized.447,ἀντι,ἀντὶ,rejected,
urn:cite:hmt:normalized.475,ἀντι,ἀντί,rejected,
urn:cite:hmt:normalized.532,ἀντι,ἀντὶ,rejected,
urn:cite:hmt:normalized.647,ἀντι,ἀντὶ,rejected,
urn:cite:hmt:normalized.682,ἀντι,ἀντὶ,rejected,
urn:cite:hmt:normalized.717,ἀντι,ἀντὶ,rejected,
urn:cite:hmt:normalized.757,ἀντι,ἀντί,rejected,
urn:cite:hmt:normalized.777,ἀντι,ἀντὶ,rejected,
urn:cite:hmt:normalized.840,ἀντι,ἀντὶ,rejected,
urn:cite:hmt:normalized.328,ἀπ,ἀπ᾽,rejected,
urn:cite:hmt:normalized.1002,ἀπ,ἀπ᾽,rejected,
urn:cite:hmt:normalized.489,ἀπ,ἀπ᾽,rejected,
urn:cite:hmt:normalized.612,ἀπ,ἀπ᾽,rejected,
urn:cite:hmt:normalized.52,ἀπ,ἀπ᾽,rejected,
urn:cite:hmt:normalized.1079,ἀπο,ἀπὸ,rejected,
urn:cite:hmt:normalized.136,ἀπο,ἀπό,rejected,
